encounter_id,encounter_date,species_name,encounter_locality,encounter_adults,encounter_young,encounter_lat,encounter_lng,attractant_names,enctype_name,outcome_name,group_code
351132,2021-10-21 10:02:37,GRIZZLY BEAR,FORT NELSON,1,0,58.8052778,-122.6969444,NOT APPLICABLE,INJURED/DISTRESSED,ADVICE PROVIDED,COS
351072,2021-10-20 20:51:20,GRIZZLY BEAR,PRINCE RUPERT -,1,0,54.3125,-130.3252778,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
351070,2021-10-20 19:08:51,GRIZZLY BEAR,SALMO,1,0,49.0885705,-117.2675281,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
351020,2021-10-20 14:36:58,GRIZZLY BEAR,BELLA COOLA,1,0,52.3658341,-126.7023974,RESIDENTIAL - FRUIT TREES/BERRIES,SIGHTINGS,OTHER,COS
350962,2021-10-20 09:36:07,GRIZZLY BEAR,STEWART,1,0,55.9380556,-129.9908333,GARBAGE,SIGHTINGS,NOT SPECIFIED,COS
350941,2021-10-19 21:00:00,GRIZZLY BEAR,MCLEOD LAKE,1,0,54.9830556,-123.0347222,OTHER,LIVESTOCK/PETS - KILLED/INJURED,SHORT-DISTANCE RELOCATION,COS
350837,2021-10-19 11:40:43,GRIZZLY BEAR,ATLIN,1,0,59.5663889,-133.7019444,GARBAGE,SIGHTINGS,ADVICE PROVIDED,COS
351611,2021-10-18 13:17:00,GRIZZLY BEAR,HOSMER,1,0,49.5830556,-114.9508333,,AGGRESSIVE,TRAP SET - NO CAPTURE,COS
350689,2021-10-18 12:19:45,GRIZZLY BEAR,BEAR LAKE,1,0,54.4997222,-122.6680556,NOT APPLICABLE,INJURED/DISTRESSED,OTHER,COS
350412,2021-10-16 12:07:06,GRIZZLY BEAR,ATLIN,1,0,59.505345,-133.6567865,GARBAGE,SIGHTINGS,DESTROYED BY COS,COS
350335,2021-10-15 17:17:52,GRIZZLY BEAR,MACKENZIE,1,0,55.3241667,-123.0927778,NOT APPLICABLE,INJURED/DISTRESSED,OTHER,COS
350320,2021-10-15 15:18:04,GRIZZLY BEAR,CHILLIWACK,1,0,49.0996274,-121.9503714,WILDLIFE - HUNTER KILL,SIGHTINGS,ADVICE PROVIDED,COS
350609,2021-10-15 12:31:00,GRIZZLY BEAR,ATLIN,1,0,59.5424442,-133.6516584,,SIGHTINGS,NOT SPECIFIED,COS
350781,2021-10-15 08:28:00,GRIZZLY BEAR,TERRACE,1,0,54.5161111,-128.5994444,,SIGHTINGS,NOT SPECIFIED,COS
350139,2021-10-14 11:58:51,GRIZZLY BEAR,HAGENSBORG,1,0,52.3830556,-126.5513889,NOT APPLICABLE,SCHOOL/PARK/PLAYGROUND,OTHER,COS
349950,2021-10-13 10:49:41,GRIZZLY BEAR,TERRACE,0,1,54.5161111,-128.5994444,GARBAGE,SIGHTINGS,TRANSFERRED TO REHAB,COS
350220,2021-10-13 00:00:00,GRIZZLY BEAR,SMITHERS,1,0,54.7788889,-127.1758333,,DAMAGE TO PROPERTY,ADVICE PROVIDED,COS
349864,2021-10-12 20:20:14,GRIZZLY BEAR,GENELLE,1,0,49.208352,-117.692475,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
349625,2021-10-11 10:16:34,GRIZZLY BEAR,HOUSTON,1,0,54.3980556,-126.6480556,"LIVESTOCK, RESIDENTIAL - FRUIT TREES/BERRIES",FOOD CONDITIONED,NOT SPECIFIED,COS
349587,2021-10-11 00:16:45,GRIZZLY BEAR,BELLA COOLA,1,0,52.3658341,-126.7023974,RESIDENTIAL - FRUIT TREES/BERRIES,SIGHTINGS,OTHER,COS
349544,2021-10-10 13:37:14,GRIZZLY BEAR,SMITHERS,1,0,54.7788889,-127.1758333,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
349512,2021-10-10 09:43:57,GRIZZLY BEAR,"MACKENZIE ,BC",1,0,53.913051,-122.7452849,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
349435,2021-10-09 14:54:30,GRIZZLY BEAR,SQUAMISH,1,0,49.6977778,-123.1555556,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
349339,2021-10-09 01:34:13,GRIZZLY BEAR,TERRACE,1,0,54.6107816,-128.4133784,NOT APPLICABLE,SIGHTINGS,TRAP SET - NO CAPTURE,COS
349300,2021-10-08 19:15:11,GRIZZLY BEAR,FERNIE,1,0,49.5234939,-115.0683367,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
349258,2021-10-08 15:31:46,GRIZZLY BEAR,HAGENSBORG,3,0,52.3830556,-126.5513889,NOT APPLICABLE,SIGHTINGS,OTHER,COS
349086,2021-10-07 15:28:02,GRIZZLY BEAR,ELKO -,4,0,49.2997222,-115.1116667,NOT APPLICABLE,DEAD WILDLIFE,ADVICE PROVIDED,COS
349041,2021-10-07 11:23:00,GRIZZLY BEAR,ATLIN,1,0,59.5752716,-133.6995009,OTHER,FOOD CONDITIONED,ADVICE PROVIDED,COS
348866,2021-10-06 11:27:08,GRIZZLY BEAR,PEMBERTON,1,0,50.4737816,-122.943665,PETS,SIGHTINGS,ADVICE PROVIDED,COS
348834,2021-10-06 09:12:33,GRIZZLY BEAR,ARROW CREEK,1,0,49.1437295,-116.4595378,BEEHIVE,FOOD CONDITIONED,ADVICE PROVIDED,COS
348820,2021-10-06 08:33:12,GRIZZLY BEAR,OWEEKENO VILLAGE,1,0,48.8497222,-123.3177778,GARBAGE,DAMAGE TO PROPERTY,ADVICE PROVIDED,COS
349720,2021-10-05 17:00:00,GRIZZLY BEAR,TERRACE,4,0,54.5161111,-128.5994444,,SIGHTINGS,ADVICE PROVIDED,COS
348703,2021-10-05 16:44:01,GRIZZLY BEAR,VANDERHOOF,2,0,54.11565,-124.2459037,LIVESTOCK,LIVESTOCK/PETS - KILLED/INJURED,TRAP SET - NO CAPTURE,COS
348647,2021-10-05 09:26:18,GRIZZLY BEAR,LIKELY,1,0,52.6163889,-121.5511111,NOT APPLICABLE,SIGHTINGS,OTHER,COS
348790,2021-10-04 18:00:00,GRIZZLY BEAR,TERRACE,1,0,54.611899,-128.3915798,,SIGHTINGS,ADVICE PROVIDED,COS
348549,2021-10-04 17:37:42,GRIZZLY BEAR,MACKENZIE,1,0,55.3241667,-123.0927778,NOT APPLICABLE,INJURED/DISTRESSED,OTHER,COS
348531,2021-10-04 16:12:41,GRIZZLY BEAR,HASENBORG,1,0,52.3830556,-126.5513889,NOT APPLICABLE,SIGHTINGS,OTHER,COS
348598,2021-10-04 16:12:00,GRIZZLY BEAR,STEWART,1,0,55.9380556,-129.9908333,,SIGHTINGS,ADVICE PROVIDED,COS
348562,2021-10-04 15:30:00,GRIZZLY BEAR,HAGENSBORG,1,0,52.3830556,-126.5513889,NOT APPLICABLE,AGGRESSIVE,ADVICE PROVIDED,COS
348481,2021-10-04 12:39:38,GRIZZLY BEAR,PRINCE GEORGE,1,0,53.9127778,-122.7452778,LIVESTOCK,LIVESTOCK/PETS - KILLED/INJURED,OTHER,COS
348265,2021-10-03 12:42:31,GRIZZLY BEAR,WARDNER,0,1,49.4839571,-115.531885,LIVESTOCK,SIGHTINGS,ADVICE PROVIDED,COS
348273,2021-10-02 19:00:00,GRIZZLY BEAR,GRANISLE,1,0,54.8844444,-126.2066667,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
348205,2021-10-02 16:38:45,GRIZZLY BEAR,,5,0,53.913051,-122.7452849,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
348105,2021-10-02 10:16:36,GRIZZLY BEAR,LUMBY,1,0,50.2345838,-118.9907699,LIVESTOCK,LIVESTOCK/PETS - KILLED/INJURED,ADVICE PROVIDED,COS
348074,2021-10-02 01:50:21,GRIZZLY BEAR,PRINCE GEORGE,1,0,53.9127778,-122.7452778,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
349072,2021-10-01 14:21:00,GRIZZLY BEAR,GENELLE -,1,0,49.2080556,-117.6969444,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
347987,2021-10-01 12:42:00,GRIZZLY BEAR,GENELLE,1,0,49.2080556,-117.6969444,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
347955,2021-10-01 10:15:57,GRIZZLY BEAR,SPARWOOD,1,0,49.7330556,-114.8855556,NOT APPLICABLE,SIGHTINGS,TRAP SET - NO CAPTURE,COS
347691,2021-09-29 15:26:23,GRIZZLY BEAR,FORT STJOHN,0,1,56.2708779,-120.8526878,"BARBEQUE, GARBAGE",SIGHTINGS,OTHER,COS
347640,2021-09-29 10:28:55,GRIZZLY BEAR,RIVERS INLET,1,0,51.6830556,-127.2513889,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
348373,2021-09-29 00:00:00,GRIZZLY BEAR,BURNS LAKE,1,0,54.23,-125.7641667,,SIGHTINGS,DESTROYED BY COS,COS
347501,2021-09-28 09:55:51,GRIZZLY BEAR,HAGENSBORG,1,0,52.3830556,-126.5513889,NOT APPLICABLE,SCHOOL/PARK/PLAYGROUND,OTHER,COS
347493,2021-09-28 09:35:00,GRIZZLY BEAR,PORT MCNEILL,1,0,50.5891667,-127.0833333,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
347457,2021-09-28 03:33:12,GRIZZLY BEAR,GARDEN BAY,1,0,49.4805373,-123.7454631,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
347377,2021-09-27 13:05:34,GRIZZLY BEAR,FORT BABINE,1,0,55.3177778,-126.6247222,NOT APPLICABLE,SIGHTINGS,TRAP SET - NO CAPTURE,COS
347358,2021-09-27 11:20:00,GRIZZLY BEAR,GLENVOWELL,1,2,55.311649,-127.694167,GARBAGE,SIGHTINGS,ADVICE PROVIDED,COS
347288,2021-09-27 03:06:30,GRIZZLY BEAR,KITSELAS,1,0,54.6163889,-128.4180556,GARBAGE,FOOD CONDITIONED,TRAP SET - NO CAPTURE,COS
347267,2021-09-26 21:05:01,GRIZZLY BEAR,,2,0,53.913051,-122.7452849,NOT APPLICABLE,DAMAGE TO PROPERTY,ADVICE PROVIDED,COS
347185,2021-09-26 10:47:00,GRIZZLY BEAR,INVERMERE,1,0,50.5302664,-116.1402058,LIVESTOCK,LIVESTOCK/PETS - KILLED/INJURED,TRAP SET - NO CAPTURE,COS
347361,2021-09-26 09:25:00,GRIZZLY BEAR,CHIMDEMASH,1,0,54.5166703,-128.5630781,,SIGHTINGS,NOT SPECIFIED,COS
347146,2021-09-26 07:23:22,GRIZZLY BEAR,RADIUM,1,0,50.6197222,-116.0758333,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
346994,2021-09-25 08:03:10,GRIZZLY BEAR,FERNIE,1,0,49.5330916,-115.0343802,FREEZER,SIGHTINGS,ADVICE PROVIDED,COS
346953,2021-09-24 19:22:16,GRIZZLY BEAR,"PRINCE GEORGE, B C",1,0,48.5941667,-123.4205556,NOT APPLICABLE,SIGHTINGS,OTHER,COS
346562,2021-09-22 21:47:33,GRIZZLY BEAR,VANDERHOOF,1,0,54.0172222,-124.0072222,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
346484,2021-09-22 13:16:00,GRIZZLY BEAR,MERRITT,1,0,50.1122222,-120.7880556,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
346471,2021-09-22 13:11:24,GRIZZLY BEAR,VANDERHOOF -,1,0,54.0172222,-124.0072222,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
346459,2021-09-22 12:28:55,GRIZZLY BEAR,TRAIL,1,0,49.0941667,-117.7091667,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
346442,2021-09-22 11:38:47,GRIZZLY BEAR,-,1,0,53.913051,-122.7452849,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
346492,2021-09-22 11:00:00,GRIZZLY BEAR,FERNIE,1,0,49.5038889,-115.0627778,NOT APPLICABLE,AGGRESSIVE,ADVICE PROVIDED,COS
346338,2021-09-21 20:40:25,GRIZZLY BEAR,WARFIELD,1,0,49.0938889,-117.7491667,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
346322,2021-09-21 19:14:31,GRIZZLY BEAR,WARFIELD,1,0,49.0954204,-117.7551312,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
346494,2021-09-21 18:00:00,GRIZZLY BEAR,-,1,0,50.3482627,-122.83196,OTHER,SIGHTINGS,NOT SPECIFIED,COS
346063,2021-09-20 16:06:30,GRIZZLY BEAR,ALICE ARM,0,1,55.4830556,-129.4683333,,ORPHANED,OTHER,COS
346027,2021-09-20 13:25:05,GRIZZLY BEAR,KITIMAT-STIKINE,1,0,55.2330556,-127.6680556,OTHER,SIGHTINGS,ADVICE PROVIDED,COS
346002,2021-09-20 11:27:00,GRIZZLY BEAR,WYCLIFFE,1,0,49.6246076,-115.9180998,LIVESTOCK,LIVESTOCK/PETS - KILLED/INJURED,TRAP SET - NO CAPTURE,COS
346208,2021-09-19 17:58:00,GRIZZLY BEAR,MCBRIDE,1,3,53.3038889,-120.1638889,,DAMAGE TO PROPERTY,GONE ON ARRIVAL,COS
345791,2021-09-19 09:28:29,GRIZZLY BEAR,GOLDEN,1,0,51.3338319,-117.0070764,NOT APPLICABLE,SIGHTINGS,GONE ON ARRIVAL,COS
345780,2021-09-19 06:43:20,GRIZZLY BEAR,HORSEFLY,1,0,52.3922343,-121.40647,LIVESTOCK,SIGHTINGS,ADVICE PROVIDED,COS
345654,2021-09-18 12:46:46,GRIZZLY BEAR,BELLA COOLA -,3,0,52.3830556,-126.7513889,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
345774,2021-09-18 10:27:04,GRIZZLY BEAR,GOLDEN -,1,0,51.3053457,-116.9695251,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
345623,2021-09-17 17:00:00,GRIZZLY BEAR,KIMBERLEY,1,0,49.6957011,-115.976066,OTHER,SIGHTINGS,ADVICE PROVIDED,COS
345351,2021-09-16 13:51:17,GRIZZLY BEAR,WILLIAMS LAKE,1,0,52.1102173,-122.0612957,GARBAGE,SIGHTINGS,NOT SPECIFIED,COS
345194,2021-09-15 20:06:38,GRIZZLY BEAR,SPARWOOD,1,0,49.7366493,-114.8820966,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
345242,2021-09-15 14:58:57,GRIZZLY BEAR,HAGENSBORG,1,0,52.3919975,-126.5513935,NOT APPLICABLE,AGGRESSIVE,TRAP SET - NO CAPTURE,COS
345255,2021-09-15 14:41:23,GRIZZLY BEAR,MARA,1,0,50.6823976,-119.0496069,OTHER,SIGHTINGS,NOT SPECIFIED,COS
344901,2021-09-14 09:02:14,GRIZZLY BEAR,VANDERHOOF,1,0,53.8913255,-124.1267117,LIVESTOCK,FOOD CONDITIONED,ADVICE PROVIDED,COS
344794,2021-09-13 19:39:50,GRIZZLY BEAR,VANDERHOOF,1,0,53.8357742,-123.703374,LIVESTOCK,SIGHTINGS,NOT SPECIFIED,COS
344898,2021-09-13 18:00:00,GRIZZLY BEAR,WHISTLER,1,0,50.1169444,-122.9544444,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
344712,2021-09-13 10:02:19,GRIZZLY BEAR,-,1,0,52.3772597,-126.6026229,NOT APPLICABLE,AGGRESSIVE,GONE ON ARRIVAL,COS
344866,2021-09-12 07:18:00,GRIZZLY BEAR,SPARWOOD,1,0,49.7330556,-114.8855556,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
344923,2021-09-12 00:00:00,GRIZZLY BEAR,GRASMERE,1,0,49.1773061,-115.1134272,NOT APPLICABLE,DAMAGE TO PROPERTY,OTHER,COS
344320,2021-09-11 11:01:18,GRIZZLY BEAR,WILLIAMS LAKE,2,0,52.1288889,-122.14,RESIDENTIAL - FRUIT TREES/BERRIES,SIGHTINGS,ADVICE PROVIDED,COS
344034,2021-09-10 06:43:53,GRIZZLY BEAR,EDGEWATER,0,1,50.6994444,-116.1355556,NOT APPLICABLE,DEAD WILDLIFE,OTHER,COS
343899,2021-09-09 13:00:49,GRIZZLY BEAR,SPARWOOD,1,2,49.7330556,-114.8855556,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
343750,2021-09-08 17:59:39,GRIZZLY BEAR,FERNIE,1,0,49.5687585,-114.9912102,RESIDENTIAL - FRUIT TREES/BERRIES,SIGHTINGS,ADVICE PROVIDED,COS
343713,2021-09-08 15:11:18,GRIZZLY BEAR,FERNIE,0,1,49.521498,-115.0688553,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
343701,2021-09-08 14:19:03,GRIZZLY BEAR,ROSSLAND,1,0,49.0819379,-117.7826496,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
343688,2021-09-08 13:16:57,GRIZZLY BEAR,GENELLE,1,0,49.2195841,-117.6868949,RESIDENTIAL - FRUIT TREES/BERRIES,SIGHTINGS,ADVICE PROVIDED,COS
343668,2021-09-08 12:30:34,GRIZZLY BEAR,CRESTON,2,0,49.1397906,-116.4532629,"BIRD FEEDERS, GARBAGE, OTHER",SIGHTINGS,ADVICE PROVIDED,COS
343656,2021-09-08 12:05:34,GRIZZLY BEAR,HAGENSBORG,1,0,52.3871638,-126.5399389,NOT APPLICABLE,SCHOOL/PARK/PLAYGROUND,OTHER,COS
343600,2021-09-08 09:46:21,GRIZZLY BEAR,EDGEWATER,1,0,50.6994444,-116.1355556,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
343375,2021-09-07 08:50:22,GRIZZLY BEAR,ROSSLAND,1,0,49.0817441,-117.7896905,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
343366,2021-09-07 07:42:23,GRIZZLY BEAR,ROSSLAND,1,0,49.0806407,-117.7897206,BEEHIVE,FOOD CONDITIONED,ADVICE PROVIDED,COS
343339,2021-09-07 04:36:05,GRIZZLY BEAR,FERNIE,1,0,49.5038889,-115.0627778,NOT APPLICABLE,INJURED/DISTRESSED,DESTROYED BY OTHER,COS
343198,2021-09-06 11:55:19,GRIZZLY BEAR,CRANBROOK,0,1,49.5168773,-115.7684599,NOT APPLICABLE,DEAD WILDLIFE,DESTROYED BY OTHER,COS
342951,2021-09-05 03:49:00,GRIZZLY BEAR,WARDNER,1,0,49.4163889,-115.4175,NOT APPLICABLE,DEAD WILDLIFE,NOT SPECIFIED,COS
342931,2021-09-04 21:08:38,GRIZZLY BEAR,ATLIN,1,0,59.5095222,-133.646308,GARBAGE,SIGHTINGS,ADVICE PROVIDED,COS
342921,2021-09-04 19:16:49,GRIZZLY BEAR,VERNON,1,0,50.2655556,-119.2716667,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
342911,2021-09-04 18:24:56,GRIZZLY BEAR,NELSON,1,0,49.4893264,-117.3531139,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
342841,2021-09-04 12:32:48,GRIZZLY BEAR,VANDERHOOF,1,0,54.0172222,-124.0072222,NOT APPLICABLE,LIVESTOCK/PETS - KILLED/INJURED,ADVICE PROVIDED,COS
342783,2021-09-04 08:25:41,GRIZZLY BEAR,ROSSLAND,1,0,49.0735337,-117.7884042,NOT APPLICABLE,SIGHTINGS,ADVICE PROVIDED,COS
